"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
1	-32.100887	10.100006	-0.527689	1.000000	0.000000	-0.000610	-0.000610	0.000000	-1.000000	0.000000	1.000000	0.000000
2	-31.600912	10.095088	-0.528500	0.999943	-0.010567	-0.001756	-0.001755	0.000104	-0.999998	0.010567	0.999944	0.000086
3	-31.100942	10.089741	-0.529425	0.999941	-0.010687	-0.001907	-0.001907	0.000008	-0.999998	0.010687	0.999943	-0.000013
4	-30.600971	10.084422	-0.530410	0.999942	-0.010561	-0.002031	-0.002031	0.000009	-0.999998	0.010561	0.999944	-0.000012
5	-30.100999	10.079182	-0.531443	0.999944	-0.010365	-0.002136	-0.002136	0.000010	-0.999998	0.010365	0.999946	-0.000012
6	-29.601027	10.074062	-0.532528	0.999946	-0.010133	-0.002194	-0.002194	0.000010	-0.999998	0.010133	0.999949	-0.000012
7	-29.101053	10.069058	-0.533657	0.999948	-0.009891	-0.002289	-0.002289	0.000011	-0.999997	0.009891	0.999951	-0.000011
8	-28.601078	10.064176	-0.534827	0.999951	-0.009624	-0.002384	-0.002384	0.000012	-0.999997	0.009624	0.999954	-0.000011
9	-28.101102	10.059425	-0.536040	0.999953	-0.009341	-0.002480	-0.002480	0.000013	-0.999997	0.009341	0.999956	-0.000010
10	-27.601125	10.054835	-0.537303	0.999956	-0.009049	-0.002575	-0.002575	0.000014	-0.999997	0.009049	0.999959	-0.000010
11	-27.101147	10.050391	-0.538611	0.999958	-0.008736	-0.002670	-0.002670	0.000014	-0.999996	0.008736	0.999962	-0.000009
12	-26.601167	10.046100	-0.539964	0.999961	-0.008406	-0.002766	-0.002766	0.000015	-0.999996	0.008406	0.999965	-0.000008
13	-26.101186	10.041971	-0.541364	0.999963	-0.008065	-0.002861	-0.002861	0.000015	-0.999996	0.008065	0.999967	-0.000008
14	-25.601203	10.038043	-0.542821	0.999966	-0.007692	-0.002956	-0.002956	0.000016	-0.999996	0.007692	0.999970	-0.000007
15	-25.101220	10.034299	-0.544331	0.999969	-0.007291	-0.003071	-0.003071	0.000017	-0.999995	0.007291	0.999973	-0.000006
16	-24.601235	10.030750	-0.545896	0.999971	-0.006875	-0.003185	-0.003185	0.000017	-0.999995	0.006875	0.999976	-0.000005
17	-24.101249	10.027409	-0.547519	0.999974	-0.006430	-0.003319	-0.003319	0.000018	-0.999994	0.006430	0.999979	-0.000004
18	-23.601261	10.024329	-0.549215	0.999976	-0.005943	-0.003462	-0.003462	0.000018	-0.999994	0.005943	0.999982	-0.000002
19	-23.101272	10.021483	-0.550975	0.999979	-0.005466	-0.003586	-0.003586	0.000019	-0.999994	0.005466	0.999985	-0.000001
20	-22.601282	10.018862	-0.552798	0.999981	-0.005005	-0.003710	-0.003710	0.000019	-0.999993	0.005005	0.999987	0.000000
21	-22.101292	10.016456	-0.554680	0.999982	-0.004567	-0.003815	-0.003815	0.000019	-0.999993	0.004567	0.999990	0.000002
22	-21.601300	10.014288	-0.556628	0.999984	-0.004158	-0.003948	-0.003948	0.000019	-0.999992	0.004158	0.999991	0.000003
23	-21.101308	10.012313	-0.558629	0.999985	-0.003760	-0.004044	-0.004044	0.000019	-0.999992	0.003760	0.999993	0.000004
24	-20.601315	10.010523	-0.560682	0.999986	-0.003387	-0.004168	-0.004168	0.000019	-0.999991	0.003387	0.999994	0.000005
25	-20.101322	10.008908	-0.562782	0.999986	-0.003030	-0.004273	-0.004272	0.000019	-0.999991	0.003030	0.999995	0.000006
26	-19.601329	10.007486	-0.564936	0.999987	-0.002703	-0.004358	-0.004358	0.000019	-0.999991	0.002703	0.999996	0.000007
27	-19.101336	10.006218	-0.567133	0.999987	-0.002387	-0.004425	-0.004425	0.000019	-0.999990	0.002387	0.999997	0.000008
28	-18.601342	10.005096	-0.569371	0.999988	-0.002095	-0.004520	-0.004520	0.000019	-0.999990	0.002095	0.999998	0.000009
29	-18.101348	10.004113	-0.571646	0.999988	-0.001820	-0.004578	-0.004578	0.000019	-0.999990	0.001820	0.999998	0.000010
30	-17.601354	10.003277	-0.573963	0.999988	-0.001564	-0.004664	-0.004663	0.000018	-0.999989	0.001564	0.999999	0.000011
31	-17.101360	10.002560	-0.576312	0.999988	-0.001324	-0.004730	-0.004730	0.000018	-0.999989	0.001324	0.999999	0.000011
32	-16.601366	10.001953	-0.578692	0.999988	-0.001101	-0.004797	-0.004797	0.000017	-0.999988	0.001101	0.999999	0.000012
33	-16.101372	10.001446	-0.581099	0.999988	-0.000904	-0.004845	-0.004845	0.000017	-0.999988	0.000905	1.000000	0.000013
34	-15.601378	10.001046	-0.583536	0.999988	-0.000725	-0.004892	-0.004892	0.000017	-0.999988	0.000725	1.000000	0.000013
35	-15.101384	10.000726	-0.585995	0.999988	-0.000567	-0.004940	-0.004940	0.000016	-0.999988	0.000567	1.000000	0.000013
36	-14.601391	10.000479	-0.588474	0.999988	-0.000425	-0.004973	-0.004973	0.000016	-0.999988	0.000425	1.000000	0.000014
37	-14.101397	10.000296	-0.590971	0.999987	-0.000300	-0.005016	-0.005016	0.000015	-0.999987	0.000300	1.000000	0.000014
38	-13.601403	10.000174	-0.593485	0.999987	-0.000200	-0.005040	-0.005040	0.000015	-0.999987	0.000200	1.000000	0.000014
39	-13.101410	10.000096	-0.596011	0.999987	-0.000120	-0.005064	-0.005064	0.000014	-0.999987	0.000120	1.000000	0.000014
40	-12.601416	10.000052	-0.598546	0.999987	-0.000060	-0.005074	-0.005074	0.000014	-0.999987	0.000060	1.000000	0.000013
